sku,ean,descricao,criado_em,atualizado_em
AL548,7908713205657,PISTOLA PINTURA HVLP 2 BICOS - H-827 - CÓD: AL548 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL548-250,7908713208399,PISTOLA PINTURA HVLP 2 BICOS - H-827 - 600ML - CÓD: AL548-250 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL549,7908713205664,PISTOLA DE PINTURA POR GRAVIDADE - COR: PRATA - CÓD.: AL549 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL55-B,7908713211443,MINI COMPRESSOR DE AR PARA AERÓGRAFO - COR: PRETO - CÓD: AL55-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL550,7908713205671,REGULADOR DE PRESSÃO PARA COMPRESSOR - CÓD: AL550 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL556,7908713205688,FILTRO REGULADOR DE AR SEPARADOR DE AGUA 5/8 - COR: PRATA - CÓD.: AL556 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL588-1,7908713209150,MICRO MINI RETIFICA ELETRICA - VOLTAGEM: 110V - CÓD: AL588-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL59-B,7908713208054,MOEDOR MANU DE CAFÉ TABACO - CÓDIGO: AL59-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL591,7908713204674,CARRINHO CARGA MULTIUSO PLATAFORMA DOBRAVEL 75/80KG - CÓD 591 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL592-1,7908713203707,MAQUINA DE CONTAR DINHEIRO DETECTA NOTA FALSA - VOLTAGEM: 110V - CÓD: AL592-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL592-2,7908713208023,MAQUINA DE CONTAR DINHEIRO DETECTA NOTA FALSA - VOLTAGEM: 220V - CÓD: AL592-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL594,7908713205695,HOLOFOTE LED PORTATIL RECARREGAVEL À PROVA D'ÁGUA - CÓD: AL594 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL595,7908713205701,HOLOFOTE RECARREGAVEL LED 100W Á PROVA D'ÁGUA - CÓD: AL595 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
